ObjectClass	CommandType	CommandName	PraatUsage	SpecialFileTypes
Activation	Create	To Matrix	do ("To Matrix")	headerless spreadsheet, matrix text
Activation	Modify	Formula...	do ("Formula...", "self")	NA
AffineTransform	Create	Invert	do ("Invert")	NA
AffineTransform	Query	Get translation element...	do ("Get translation element...", 1)	NA
AffineTransform	Query	Get transformation element...	do ("Get transformation element...", 1, 1)	NA
AmplitudeTier	Create	To IntensityTier...	do ("To IntensityTier...", -10000)	NA
AmplitudeTier	Create	Down to PointProcess	do ("Down to PointProcess")	NA
AmplitudeTier	Create	To Sound (pulse train)...	do ("To Sound (pulse train)...", 44100, 2000)	(Sound formats)
AmplitudeTier	Create	Down to TableOfReal	do ("Down to TableOfReal")	headerless spreadsheet
AmplitudeTier	Modify	Shift times by...	do ("Shift times by...", 0.5)	NA
AmplitudeTier	Modify	Shift times to...	do ("Shift times to...", "start time", 0)	NA
AmplitudeTier	Modify	Scale times by...	do ("Scale times by...", 2)	NA
AmplitudeTier	Modify	Scale times to...	do ("Scale times to...", 0, 1)	NA
AmplitudeTier	Modify	Remove point...	do ("Remove point...", 1)	NA
AmplitudeTier	Modify	Remove point near...	do ("Remove point near...", 0.5)	NA
AmplitudeTier	Modify	Remove points between...	do ("Remove points between...", 0, 1)	NA
AmplitudeTier	Modify	Add point...	do ("Add point...", 0.5, 0.8)	NA
AmplitudeTier	Modify	Formula...	do ("Formula...", "- self")	NA
AmplitudeTier	Query	Get start time	do ("Get start time")	NA
AmplitudeTier	Query	Get end time	do ("Get end time")	NA
AmplitudeTier	Query	Get total duration	do ("Get total duration")	NA
AmplitudeTier	Query	Get number of points	do ("Get number of points")	NA
AmplitudeTier	Query	Get low index from time...	do ("Get low index from time...", 0.5)	NA
AmplitudeTier	Query	Get high index from time...	do ("Get high index from time...", 0.5)	NA
AmplitudeTier	Query	Get nearest index from time...	do ("Get nearest index from time...", 0.5)	NA
AmplitudeTier	Query	Get time from index...	do ("Get time from index...", 10)	NA
AmplitudeTier	Query	Get shimmer (local)...	do ("Get shimmer (local)...", 0.0001, 0.02, 1.6)	NA
AmplitudeTier	Query	Get shimmer (local_dB)...	do ("Get shimmer (local_dB)...", 0.0001, 0.02, 1.6)	NA
AmplitudeTier	Query	Get shimmer (apq3)...	do ("Get shimmer (apq3)...", 0.0001, 0.02, 1.6)	NA
AmplitudeTier	Query	Get shimmer (apq5)...	do ("Get shimmer (apq5)...", 0.0001, 0.02, 1.6)	NA
AmplitudeTier	Query	Get shimmer (apq11)...	do ("Get shimmer (apq11)...", 0.0001, 0.02, 1.6)	NA
AmplitudeTier	Query	Get shimmer (dda)...	do ("Get shimmer (dda)...", 0.0001, 0.02, 1.6)	NA
Artword	Create	To Art (slice)...	do ("To Art (slice)...", 0)	NA
Artword	Modify	Set target...	do ("Set target...", 0, 0, "Lungs")	NA
Artword	Query	Get target...	do ("Get target...", 0, "Lungs")	NA
BarkFilter	Create	To Intensity	do ("To Intensity")	NA
BarkFilter	Create	To Matrix	do ("To Matrix")	headerless spreadsheet, matrix text
BarkFilter	Modify	Equalize intensities...	do ("Equalize intensities...", 80)	NA
BarkFilter	Query	Get start time	do ("Get start time")	NA
BarkFilter	Query	Get end time	do ("Get end time")	NA
BarkFilter	Query	Get total duration	do ("Get total duration")	NA
BarkFilter	Query	Get number of frames	do ("Get number of frames")	NA
BarkFilter	Query	Get time step	do ("Get time step")	NA
BarkFilter	Query	Get time from frame number...	do ("Get time from frame number...", 1)	NA
BarkFilter	Query	Get frame number from time...	do ("Get frame number from time...", 0.5)	NA
BarkFilter	Query	Get time from column...	do ("Get time from column...", 1)	NA
BarkFilter	Query	Get lowest frequency	do ("Get lowest frequency")	NA
BarkFilter	Query	Get highest frequency	do ("Get highest frequency")	NA
BarkFilter	Query	Get number of frequencies	do ("Get number of frequencies")	NA
BarkFilter	Query	Get frequency distance	do ("Get frequency distance")	NA
BarkFilter	Query	Get frequency from row...	do ("Get frequency from row...", 1)	NA
BarkFilter	Query	Get value in cell...	do ("Get value in cell...", 0.5, 1)	NA
BarkFilter	Query	Get frequency in Hertz...	do ("Get frequency in Hertz...", 10, "Bark")	NA
BarkFilter	Query	Get frequency in Bark...	do ("Get frequency in Bark...", 93.17, "Hertz")	NA
BarkFilter	Query	Get frequency in mel...	do ("Get frequency in mel...", 1000, "Hertz")	NA
Categories	Create	To unique Categories	do ("To unique Categories")	NA
Categories	Create	Permute items	do ("Permute items")	NA
Categories	Create	To Strings	do ("To Strings")	raw text
Categories	Modify	Append 1 category...	do ("Append 1 category...", "CategoryName")	NA
Categories	Modify	Sort	do ("Sort")	NA
Categories	Query	Get number of categories	do ("Get number of categories")	NA
Categories	Query	Get entropy	do ("Get entropy")	NA
CCA	Query	Get number of correlations	do ("Get number of correlations")	NA
CCA	Query	Get correlation...	do ("Get correlation...", 1)	NA
CCA	Query	Get eigenvector element...	do ("Get eigenvector element...", "y", 1, 1)	NA
CCA	Query	Get zero correlation probability...	do ("Get zero correlation probability...", 1)	NA
Cepstrogram	Create	Smooth...	do ("Smooth...", 0.01, 0.0005)	NA
Cepstrogram	Create	To Cepstrum (slice)...	do ("To Cepstrum (slice)...", 0.1)	NA
Cepstrogram	Create	To Matrix	do ("To Matrix")	headerless spreadsheet, matrix text
Cepstrogram	Create	To Table (peak prominence)...	do ("To Table (peak prominence)...", 60, 330, "Cubic", 0.001, 0, "Robust")	comma-separated, tab-separated
Cepstrogram	Query	Get CPPS...	do ("Get CPPS...", 0.01, 0.0005, 60, 330, "Cubic", 0.001, 0, "Robust")	NA
Cepstrum	Create	To Matrix	do ("To Matrix")	headerless spreadsheet, matrix text
Cepstrum	Modify	Formula...	do ("Formula...", "self")	NA
Cepstrum	Query	Get peak...	do ("Get peak...", 60, 333.3, "Cubic")	NA
Cepstrum	Query	Get quefrency of peak...	do ("Get quefrency of peak...", 60, 333.3, "Cubic")	NA
Cepstrum	Query	Get peak prominence...	do ("Get peak prominence...", 60, 333.3, "Cubic", 0.001, 0, "Robust")	NA
ChebyshevSeries	Create	To Polynomial	do ("To Polynomial")	NA
ChebyshevSeries	Modify	Set domain...	do ("Set domain...", 0, 2)	NA
ChebyshevSeries	Modify	Set coefficient...	do ("Set coefficient...", 1, 0)	NA
ChebyshevSeries	Query	Get number of coefficients	do ("Get number of coefficients")	NA
ChebyshevSeries	Query	Get coefficient...	do ("Get coefficient...", 1)	NA
ChebyshevSeries	Query	Get degree	do ("Get degree")	NA
ChebyshevSeries	Query	Get value...	do ("Get value...", 0)	NA
ChebyshevSeries	Query	Get minimum...	do ("Get minimum...", 0, 0)	NA
ChebyshevSeries	Query	Get x of minimum...	do ("Get x of minimum...", 0, 0)	NA
ChebyshevSeries	Query	Get maximum...	do ("Get maximum...", 0, 0)	NA
ChebyshevSeries	Query	Get x of maximum...	do ("Get x of maximum...", 0, 0)	NA
ClassificationTable	Create	To Confusion	do ("To Confusion")	headerless spreadsheet
ClassificationTable	Create	To Correlation (columns)	do ("To Correlation (columns)")	headerless spreadsheet
ClassificationTable	Create	To Matrix	do ("To Matrix")	headerless spreadsheet, matrix text
ClassificationTable	Create	Extract row labels as Strings	do ("Extract row labels as Strings")	raw text
ClassificationTable	Create	Extract column labels as Strings	do ("Extract column labels as Strings")	raw text
ClassificationTable	Create	To Strings (max. prob.)	do ("To Strings (max. prob.)")	raw text
ClassificationTable	Create	To Table...	do ("To Table...", "rowLabel")	comma-separated, tab-separated
ClassificationTable	Create	Extract row ranges...	do ("Extract row ranges...", "1 2")	headerless spreadsheet
ClassificationTable	Create	Extract rows where column...	do ("Extract rows where column...", 1, "not equal to", 0)	headerless spreadsheet
ClassificationTable	Create	Extract rows where label...	do ("Extract rows where label...", "is not equal to", "a")	headerless spreadsheet
ClassificationTable	Create	Extract rows where...	do ("Extract rows where...", "row mod 3 = 0")	headerless spreadsheet
ClassificationTable	Create	Extract column ranges...	do ("Extract column ranges...", "1 2")	headerless spreadsheet
ClassificationTable	Create	Extract columns where row...	do ("Extract columns where row...", 1, "not equal to", 0)	headerless spreadsheet
ClassificationTable	Create	Extract columns where label...	do ("Extract columns where label...", "is not equal to", "a")	headerless spreadsheet
ClassificationTable	Create	Extract columns where...	do ("Extract columns where...", "col mod 2 = 0")	headerless spreadsheet
ClassificationTable	Modify	Formula...	do ("Formula...", "if col = 5 then self + self [6] else self fi")	headerless spreadsheet
ClassificationTable	Modify	Set value...	do ("Set value...", 1, 1, 1)	headerless spreadsheet
ClassificationTable	Modify	Sort by label...	do ("Sort by label...", 1, 0)	headerless spreadsheet
ClassificationTable	Modify	Sort by column...	do ("Sort by column...", 1, 0)	headerless spreadsheet
ClassificationTable	Modify	Remove row (index)...	do ("Remove row (index)...", 1)	headerless spreadsheet
ClassificationTable	Modify	Remove column (index)...	do ("Remove column (index)...", 1)	headerless spreadsheet
ClassificationTable	Modify	Insert row (index)...	do ("Insert row (index)...", 1)	headerless spreadsheet
ClassificationTable	Modify	Insert column (index)...	do ("Insert column (index)...", 1)	headerless spreadsheet
ClassificationTable	Modify	Set row label (index)...	do ("Set row label (index)...", 1, "")	headerless spreadsheet
ClassificationTable	Modify	Set row label (label)...	do ("Set row label (label)...", "", "")	headerless spreadsheet
ClassificationTable	Modify	Set column label (index)...	do ("Set column label (index)...", 1, "")	headerless spreadsheet
ClassificationTable	Modify	Set column label (label)...	do ("Set column label (label)...", "", "")	headerless spreadsheet
ClassificationTable	Modify	Normalize rows...	do ("Normalize rows...", 1)	headerless spreadsheet
ClassificationTable	Modify	Normalize columns...	do ("Normalize columns...", 1)	headerless spreadsheet
ClassificationTable	Modify	Normalize table...	do ("Normalize table...", 1)	headerless spreadsheet
ClassificationTable	Modify	Standardize rows	do ("Standardize rows")	headerless spreadsheet
ClassificationTable	Modify	Standardize columns	do ("Standardize columns")	headerless spreadsheet
ClassificationTable	Query	Get number of rows	do ("Get number of rows")	NA
ClassificationTable	Query	Get number of columns	do ("Get number of columns")	NA
ClassificationTable	Query	Get row label...	do ("Get row label...", 1)	NA
ClassificationTable	Query	Get column label...	do ("Get column label...", 1)	NA
ClassificationTable	Query	Get row index...	do ("Get row index...", "")	NA
ClassificationTable	Query	Get column index...	do ("Get column index...", "")	NA
ClassificationTable	Query	Get value...	do ("Get value...", 1, 1)	NA
Cochleagram	Create	To Excitation (slice)...	do ("To Excitation (slice)...", 0)	NA
Cochleagram	Create	To Matrix	do ("To Matrix")	headerless spreadsheet, matrix text
Cochleagram	Modify	Formula...	do ("Formula...", "self")	NA
Configuration	Create	To Configuration (varimax)...	do ("To Configuration (varimax)...", "yes", "no", 50, 1e-006)	headerless spreadsheet
Configuration	Create	To Distance	do ("To Distance")	headerless spreadsheet
Configuration	Create	To Matrix	do ("To Matrix")	headerless spreadsheet, matrix text
Configuration	Create	To Similarity (cc)	do ("To Similarity (cc)")	headerless spreadsheet
Configuration	Create	Extract row labels as Strings	do ("Extract row labels as Strings")	raw text
Configuration	Create	Extract column labels as Strings	do ("Extract column labels as Strings")	raw text
Configuration	Create	To Table...	do ("To Table...", "rowLabel")	comma-separated, tab-separated
Configuration	Create	Extract row ranges...	do ("Extract row ranges...", "1 2")	headerless spreadsheet
Configuration	Create	Extract rows where column...	do ("Extract rows where column...", 1, "not equal to", 0)	headerless spreadsheet
Configuration	Create	Extract rows where label...	do ("Extract rows where label...", "is not equal to", "a")	headerless spreadsheet
Configuration	Create	Extract rows where...	do ("Extract rows where...", "row mod 3 = 0")	headerless spreadsheet
Configuration	Create	Extract column ranges...	do ("Extract column ranges...", "1 2")	headerless spreadsheet
Configuration	Create	Extract columns where row...	do ("Extract columns where row...", 1, "not equal to", 0)	headerless spreadsheet
Configuration	Create	Extract columns where label...	do ("Extract columns where label...", "is not equal to", "a")	headerless spreadsheet
Configuration	Create	Extract columns where...	do ("Extract columns where...", "col mod 2 = 0")	headerless spreadsheet
Configuration	Create	To TableOfReal	do ("To TableOfReal")	headerless spreadsheet
Configuration	Modify	Formula...	do ("Formula...", "if col = 5 then self + self [6] else self fi")	headerless spreadsheet
Configuration	Modify	Set value...	do ("Set value...", 1, 1, 0)	headerless spreadsheet
Configuration	Modify	Sort by label...	do ("Sort by label...", 1, 0)	headerless spreadsheet
Configuration	Modify	Sort by column...	do ("Sort by column...", 1, 0)	headerless spreadsheet
Configuration	Modify	Remove row (index)...	do ("Remove row (index)...", 1)	headerless spreadsheet
Configuration	Modify	Insert row (index)...	do ("Insert row (index)...", 1)	headerless spreadsheet
Configuration	Modify	Set row label (index)...	do ("Set row label (index)...", 1, "")	headerless spreadsheet
Configuration	Modify	Set row label (label)...	do ("Set row label (label)...", "", "")	headerless spreadsheet
Configuration	Modify	Set column label (index)...	do ("Set column label (index)...", 1, "")	headerless spreadsheet
Configuration	Modify	Set column label (label)...	do ("Set column label (label)...", "", "")	headerless spreadsheet
Configuration	Modify	Normalize rows...	do ("Normalize rows...", 1)	headerless spreadsheet
Configuration	Modify	Normalize columns...	do ("Normalize columns...", 1)	headerless spreadsheet
Configuration	Modify	Normalize table...	do ("Normalize table...", 1)	headerless spreadsheet
Configuration	Modify	Randomize	do ("Randomize")	headerless spreadsheet
Configuration	Modify	Centralize	do ("Centralize")	headerless spreadsheet
Configuration	Modify	Rotate...	do ("Rotate...", 1, 2, 60)	headerless spreadsheet
Configuration	Modify	Rotate (pc)	do ("Rotate (pc)")	headerless spreadsheet
Configuration	Modify	Invert dimension...	do ("Invert dimension...", 1)	headerless spreadsheet
Configuration	Modify	Normalize...	do ("Normalize...", 0, "yes")	headerless spreadsheet
Configuration	Modify	Standardize rows	do ("Standardize rows")	headerless spreadsheet
Configuration	Modify	Standardize columns	do ("Standardize columns")	headerless spreadsheet
Configuration	Query	Get number of rows	do ("Get number of rows")	NA
Configuration	Query	Get number of columns	do ("Get number of columns")	NA
Configuration	Query	Get row label...	do ("Get row label...", 1)	NA
Configuration	Query	Get column label...	do ("Get column label...", 1)	NA
Configuration	Query	Get row index...	do ("Get row index...", "")	NA
Configuration	Query	Get column index...	do ("Get column index...", "")	NA
Configuration	Query	Get value...	do ("Get value...", 1, 1)	NA
Configuration	Query	Get table norm	do ("Get table norm")	NA
Confusion	Create	Sum	do ("Sum")	headerless spreadsheet
Confusion	Create	Append	do ("Append")	headerless spreadsheet
Confusion	Create	Group...	do ("Group...", "u i", "high", 0)	headerless spreadsheet
Confusion	Create	Group stimuli...	do ("Group stimuli...", "u i", "high", 0)	headerless spreadsheet
Confusion	Create	Group responses...	do ("Group responses...", "a i", "front", 0)	headerless spreadsheet
Confusion	Create	To ContingencyTable	do ("To ContingencyTable")	headerless spreadsheet
Confusion	Create	To Dissimilarity (pdf)...	do ("To Dissimilarity (pdf)...", 0.5)	headerless spreadsheet
Confusion	Create	To Matrix	do ("To Matrix")	headerless spreadsheet, matrix text
Confusion	Create	To Similarity...	do ("To Similarity...", "yes", "No symmetrization")	headerless spreadsheet
Confusion	Create	Extract row labels as Strings	do ("Extract row labels as Strings")	raw text
Confusion	Create	Extract column labels as Strings	do ("Extract column labels as Strings")	raw text
Confusion	Create	To Table...	do ("To Table...", "rowLabel")	comma-separated, tab-separated
Confusion	Create	Extract row ranges...	do ("Extract row ranges...", "1 2")	headerless spreadsheet
Confusion	Create	Extract rows where column...	do ("Extract rows where column...", 1, "not equal to", 0)	headerless spreadsheet
Confusion	Create	Extract rows where label...	do ("Extract rows where label...", "is not equal to", "a")	headerless spreadsheet
Confusion	Create	Extract rows where...	do ("Extract rows where...", "row mod 3 = 0")	headerless spreadsheet
Confusion	Create	Extract column ranges...	do ("Extract column ranges...", "1 2")	headerless spreadsheet
Confusion	Create	Extract columns where row...	do ("Extract columns where row...", 1, "not equal to", 0)	headerless spreadsheet
Confusion	Create	Extract columns where label...	do ("Extract columns where label...", "is not equal to", "a")	headerless spreadsheet
Confusion	Create	Extract columns where...	do ("Extract columns where...", "col mod 2 = 0")	headerless spreadsheet
Confusion	Create	To TableOfReal	do ("To TableOfReal")	headerless spreadsheet
Confusion	Create	To TableOfReal (marginals)	do ("To TableOfReal (marginals)")	headerless spreadsheet
Confusion	Modify	Formula...	do ("Formula...", "if col = 5 then self + self [6] else self fi")	headerless spreadsheet
Confusion	Modify	Increase...	do ("Increase...", "u", "i")	headerless spreadsheet
Confusion	Modify	Set value...	do ("Set value...", 1, 1, 0)	headerless spreadsheet
Confusion	Modify	Remove row (index)...	do ("Remove row (index)...", 1)	headerless spreadsheet
Confusion	Modify	Remove column (index)...	do ("Remove column (index)...", 1)	headerless spreadsheet
Confusion	Modify	Insert row (index)...	do ("Insert row (index)...", 1)	headerless spreadsheet
Confusion	Modify	Insert column (index)...	do ("Insert column (index)...", 1)	headerless spreadsheet
Confusion	Modify	Set row label (index)...	do ("Set row label (index)...", 1, "")	headerless spreadsheet
Confusion	Modify	Set row label (label)...	do ("Set row label (label)...", "", "")	headerless spreadsheet
Confusion	Modify	Set column label (index)...	do ("Set column label (index)...", 1, "")	headerless spreadsheet
Confusion	Modify	Set column label (label)...	do ("Set column label (label)...", "", "")	headerless spreadsheet
Confusion	Query	Get number of rows	do ("Get number of rows")	NA
Confusion	Query	Get number of columns	do ("Get number of columns")	NA
Confusion	Query	Get row label...	do ("Get row label...", 1)	NA
Confusion	Query	Get column label...	do ("Get column label...", 1)	NA
Confusion	Query	Get row index...	do ("Get row index...", "")	NA
Confusion	Query	Get column index...	do ("Get column index...", "")	NA
Confusion	Query	Get value...	do ("Get value...", 1, 1)	NA
Confusion	Query	Get value (labels)...	do ("Get value (labels)...", "u", "i")	NA
Confusion	Query	Get fraction correct	do ("Get fraction correct")	NA
Confusion	Query	Get stimulus sum...	do ("Get stimulus sum...", "u")	NA
Confusion	Query	Get response sum...	do ("Get response sum...", "u")	NA
Confusion	Query	Get grand sum	do ("Get grand sum")	NA
ContingencyTable	Create	To Matrix	do ("To Matrix")	headerless spreadsheet, matrix text
ContingencyTable	Create	Extract row labels as Strings	do ("Extract row labels as Strings")	raw text
ContingencyTable	Create	Extract column labels as Strings	do ("Extract column labels as Strings")	raw text
ContingencyTable	Create	To Table...	do ("To Table...", "rowLabel")	comma-separated, tab-separated
ContingencyTable	Create	Extract row ranges...	do ("Extract row ranges...", "1 2")	headerless spreadsheet
ContingencyTable	Create	Extract rows where column...	do ("Extract rows where column...", 1, "equal to", 0)	headerless spreadsheet
ContingencyTable	Create	Extract rows where label...	do ("Extract rows where label...", "is not equal to", "a")	headerless spreadsheet
ContingencyTable	Create	Extract rows where...	do ("Extract rows where...", "row mod 3 = 0")	headerless spreadsheet
ContingencyTable	Create	Extract column ranges...	do ("Extract column ranges...", "1 2")	headerless spreadsheet
ContingencyTable	Create	Extract columns where row...	do ("Extract columns where row...", 1, "equal to", 0)	headerless spreadsheet
ContingencyTable	Create	Extract columns where label...	do ("Extract columns where label...", "is equal to", "a")	headerless spreadsheet
ContingencyTable	Create	Extract columns where...	do ("Extract columns where...", "col mod 3 = 0")	headerless spreadsheet
ContingencyTable	Create	To TableOfReal	do ("To TableOfReal")	headerless spreadsheet
ContingencyTable	Create	To Configuration (ca)...	do ("To Configuration (ca)...", 2, "Row points and column points symmetric")	headerless spreadsheet
ContingencyTable	Modify	Formula...	do ("Formula...", "if col = 5 then self + self [6] else self fi")	headerless spreadsheet
ContingencyTable	Modify	Set value...	do ("Set value...", 1, 1, 0)	headerless spreadsheet
ContingencyTable	Modify	Sort by label...	do ("Sort by label...", 1, 0)	headerless spreadsheet
ContingencyTable	Modify	Sort by column...	do ("Sort by column...", 1, 0)	headerless spreadsheet
ContingencyTable	Modify	Remove row (index)...	do ("Remove row (index)...", 1)	headerless spreadsheet
ContingencyTable	Modify	Remove column (index)...	do ("Remove column (index)...", 1)	headerless spreadsheet
ContingencyTable	Modify	Insert row (index)...	do ("Insert row (index)...", 1)	headerless spreadsheet
ContingencyTable	Modify	Insert column (index)...	do ("Insert column (index)...", 1)	headerless spreadsheet
ContingencyTable	Modify	Set row label (index)...	do ("Set row label (index)...", 1, "")	headerless spreadsheet
ContingencyTable	Modify	Set row label (label)...	do ("Set row label (label)...", "", "")	headerless spreadsheet
ContingencyTable	Modify	Set column label (index)...	do ("Set column label (index)...", 1, "")	headerless spreadsheet
ContingencyTable	Modify	Set column label (label)...	do ("Set column label (label)...", "", "")	headerless spreadsheet
ContingencyTable	Query	Get number of rows	do ("Get number of rows")	NA
ContingencyTable	Query	Get number of columns	do ("Get number of columns")	NA
ContingencyTable	Query	Get row label...	do ("Get row label...", 1)	NA
ContingencyTable	Query	Get column label...	do ("Get column label...", 1)	NA
ContingencyTable	Query	Get row index...	do ("Get row index...", "")	NA
ContingencyTable	Query	Get column index...	do ("Get column index...", "")	NA
ContingencyTable	Query	Get value...	do ("Get value...", 1, 1)	NA
ContingencyTable	Query	Get chi squared probability	do ("Get chi squared probability")	NA
ContingencyTable	Query	Get Cramer's statistic	do ("Get Cramer's statistic")	NA
ContingencyTable	Query	Get contingency coefficient	do ("Get contingency coefficient")	NA
Correlation	Create	To Configuration...	do ("To Configuration...", 2)	headerless spreadsheet
Correlation	Create	To Matrix	do ("To Matrix")	headerless spreadsheet, matrix text
Correlation	Create	To PCA	do ("To PCA")	NA
Correlation	Create	Extract row labels as Strings	do ("Extract row labels as Strings")	raw text
Correlation	Create	Extract column labels as Strings	do ("Extract column labels as Strings")	raw text
Correlation	Create	To Table...	do ("To Table...", "rowLabel")	comma-separated, tab-separated
Correlation	Create	Extract row ranges...	do ("Extract row ranges...", "1 2")	headerless spreadsheet
Correlation	Create	Extract rows where column...	do ("Extract rows where column...", 1, "equal to", 0)	headerless spreadsheet
Correlation	Create	Extract rows where label...	do ("Extract rows where label...", "is equal to", "a")	headerless spreadsheet
Correlation	Create	Extract rows where...	do ("Extract rows where...", "row mod 3 = 0")	headerless spreadsheet
Correlation	Create	Extract column ranges...	do ("Extract column ranges...", "1 2")	headerless spreadsheet
Correlation	Create	Extract columns where row...	do ("Extract columns where row...", 1, "equal to", 0)	headerless spreadsheet
Correlation	Create	Extract columns where label...	do ("Extract columns where label...", "is not equal to", "a")	headerless spreadsheet
Correlation	Create	Extract columns where...	do ("Extract columns where...", "col mod 3 = 0")	headerless spreadsheet
Correlation	Create	Extract centroid	do ("Extract centroid")	headerless spreadsheet
Correlation	Create	To TableOfReal	do ("To TableOfReal")	headerless spreadsheet
Correlation	Create	Confidence intervals...	do ("Confidence intervals...", 0.95, 0, "Ruben")	headerless spreadsheet
Correlation	Modify	Formula...	do ("Formula...", "if col = 5 then self + self [6] else self fi")	headerless spreadsheet
Correlation	Modify	Set value...	do ("Set value...", 1, 1, 0)	headerless spreadsheet
Correlation	Modify	Sort by label...	do ("Sort by label...", 1, 0)	headerless spreadsheet
Correlation	Modify	Sort by column...	do ("Sort by column...", 1, 0)	headerless spreadsheet
Correlation	Modify	Remove row (index)...	do ("Remove row (index)...", 1)	headerless spreadsheet
Correlation	Modify	Remove column (index)...	do ("Remove column (index)...", 1)	headerless spreadsheet
Correlation	Modify	Insert row (index)...	do ("Insert row (index)...", 1)	headerless spreadsheet
Correlation	Modify	Insert column (index)...	do ("Insert column (index)...", 1)	headerless spreadsheet
Correlation	Modify	Set row label (index)...	do ("Set row label (index)...", 1, "")	headerless spreadsheet
Correlation	Modify	Set row label (label)...	do ("Set row label (label)...", "", "")	headerless spreadsheet
Correlation	Modify	Set column label (index)...	do ("Set column label (index)...", 1, "")	headerless spreadsheet
Correlation	Modify	Set column label (label)...	do ("Set column label (label)...", "", "")	headerless spreadsheet
Correlation	Query	Get number of rows	do ("Get number of rows")	NA
Correlation	Query	Get number of columns	do ("Get number of columns")	NA
Correlation	Query	Get row label...	do ("Get row label...", 1)	NA
Correlation	Query	Get column label...	do ("Get column label...", 1)	NA
Correlation	Query	Get row index...	do ("Get row index...", "")	NA
Correlation	Query	Get column index...	do ("Get column index...", "")	NA
Correlation	Query	Get value...	do ("Get value...", 1, 1)	NA
Correlation	Query	Get number of observations	do ("Get number of observations")	NA
Correlation	Query	Get degrees of freedom	do ("Get degrees of freedom")	NA
Correlation	Query	Get centroid element...	do ("Get centroid element...", 1)	NA
Correlation	Query	Get ln(determinant)	do ("Get ln(determinant)")	NA
Correlation	Query	Get diagonality (bartlett)...	do ("Get diagonality (bartlett)...", 1)	NA
Covariance	Create	To Configuration...	do ("To Configuration...", 2)	headerless spreadsheet
Covariance	Create	To Correlation	do ("To Correlation")	headerless spreadsheet
Covariance	Create	Append	do ("Append")	headerless spreadsheet
Covariance	Create	To Matrix	do ("To Matrix")	headerless spreadsheet, matrix text
Covariance	Create	To PCA	do ("To PCA")	NA
Covariance	Create	Extract row labels as Strings	do ("Extract row labels as Strings")	raw text
Covariance	Create	Extract column labels as Strings	do ("Extract column labels as Strings")	raw text
Covariance	Create	To Table...	do ("To Table...", "rowLabel")	comma-separated, tab-separated
Covariance	Create	Extract row ranges...	do ("Extract row ranges...", "1 2")	headerless spreadsheet
Covariance	Create	Extract rows where column...	do ("Extract rows where column...", 1, "not equal to", 0)	headerless spreadsheet
Covariance	Create	Extract rows where label...	do ("Extract rows where label...", "is not equal to", "a")	headerless spreadsheet
Covariance	Create	Extract rows where...	do ("Extract rows where...", "row mod 3 = 0")	headerless spreadsheet
Covariance	Create	Extract column ranges...	do ("Extract column ranges...", "1 2")	headerless spreadsheet
Covariance	Create	Extract columns where row...	do ("Extract columns where row...", 1, "not equal to", 0)	headerless spreadsheet
Covariance	Create	Extract columns where label...	do ("Extract columns where label...", "is not equal to", "a")	headerless spreadsheet
Covariance	Create	Extract columns where...	do ("Extract columns where...", "col mod 2 = 0")	headerless spreadsheet
Covariance	Create	Extract centroid	do ("Extract centroid")	headerless spreadsheet
Covariance	Create	To TableOfReal	do ("To TableOfReal")	headerless spreadsheet
Covariance	Create	To TableOfReal (random sampling)...	do ("To TableOfReal (random sampling)...", 0)	headerless spreadsheet
Covariance	Modify	Formula...	do ("Formula...", "if col = 5 then self + self [6] else self fi")	headerless spreadsheet
Covariance	Modify	Set value...	do ("Set value...", 1, 1, 1)	headerless spreadsheet
Covariance	Modify	Set centroid...	do ("Set centroid...", 1, 1)	headerless spreadsheet
Covariance	Modify	Sort by label...	do ("Sort by label...", 1, 0)	headerless spreadsheet
Covariance	Modify	Sort by column...	do ("Sort by column...", 1, 0)	headerless spreadsheet
Covariance	Modify	Remove row (index)...	do ("Remove row (index)...", 1)	headerless spreadsheet
Covariance	Modify	Remove column (index)...	do ("Remove column (index)...", 1)	headerless spreadsheet
Covariance	Modify	Insert row (index)...	do ("Insert row (index)...", 1)	headerless spreadsheet
Covariance	Modify	Insert column (index)...	do ("Insert column (index)...", 1)	headerless spreadsheet
Covariance	Modify	Set row label (index)...	do ("Set row label (index)...", 1, "")	headerless spreadsheet
Covariance	Modify	Set row label (label)...	do ("Set row label (label)...", "", "")	headerless spreadsheet
Covariance	Modify	Set column label (index)...	do ("Set column label (index)...", 1, "")	headerless spreadsheet
Covariance	Modify	Set column label (label)...	do ("Set column label (label)...", "", "")	headerless spreadsheet
Covariance	Query	Get number of rows	do ("Get number of rows")	NA
Covariance	Query	Get number of columns	do ("Get number of columns")	NA
Covariance	Query	Get row label...	do ("Get row label...", 1)	NA
Covariance	Query	Get column label...	do ("Get column label...", 1)	NA
Covariance	Query	Get row index...	do ("Get row index...", "")	NA
Covariance	Query	Get column index...	do ("Get column index...", "")	NA
Covariance	Query	Get value...	do ("Get value...", 1, 1)	NA
Covariance	Query	Get probability at position...	do ("Get probability at position...", "10.0 20.0")	NA
Covariance	Query	Get number of observations	do ("Get number of observations")	NA
Covariance	Query	Get degrees of freedom	do ("Get degrees of freedom")	NA
Covariance	Query	Get centroid element...	do ("Get centroid element...", 1)	NA
Covariance	Query	Get ln(determinant)	do ("Get ln(determinant)")	NA
